State,Year,Value,Percentage
Selangor,2015,22063,12.48
Selangor,2016,24124,12.75
Selangor,2017,25491,12.41
Selangor,2018,30179,13.64
Selangor,2019,33589,14.05
Selangor,2020,19715,14.98
Selangor,2021,10212,15.48
Selangor,2022,21990,12.81
Selangor,2023,27579,12.90
Selangor,2024,34461,13.25
Kuala Lumpur,2015,15080,8.52
Kuala Lumpur,2016,16784,8.87
Kuala Lumpur,2017,19049,9.28
Kuala Lumpur,2018,19165,8.66
Kuala Lumpur,2019,22633,9.47
Kuala Lumpur,2020,12435,9.45
Kuala Lumpur,2021,9116,13.82
Kuala Lumpur,2022,16913,9.86
Kuala Lumpur,2023,22233,10.40
Kuala Lumpur,2024,26983,10.38
Johor,2015,11589,6.55
Johor,2016,12207,6.45
Johor,2017,13141,6.40
Johor,2018,13487,6.10
Johor,2019,14274,5.97
Johor,2020,7243,5.50
Johor,2021,3658,5.54
Johor,2022,12376,7.21
Johor,2023,15805,7.40
Johor,2024,17138,6.59
Sarawak,2015,15355,8.68
Sarawak,2016,16282,8.60
Sarawak,2017,17670,8.60
Sarawak,2018,19380,8.76
Sarawak,2019,19793,8.28
Sarawak,2020,9393,7.13
Sarawak,2021,6511,9.87
Sarawak,2022,15465,9.01
Sarawak,2023,17901,8.38
Sarawak,2024,19626,7.55
Pulau Pinang,2015,9341,5.28
Pulau Pinang,2016,12565,6.64
Pulau Pinang,2017,12643,6.16
Pulau Pinang,2018,14450,6.53
Pulau Pinang,2019,15411,6.45
Pulau Pinang,2020,8929,6.78
Pulau Pinang,2021,5061,7.67
Pulau Pinang,2022,10003,5.83
Pulau Pinang,2023,13128,6.14
Pulau Pinang,2024,16605,6.38
Sabah,2015,15722,8.89
Sabah,2016,16518,8.73
Sabah,2017,17792,8.66
Sabah,2018,20360,9.21
Sabah,2019,22035,9.22
Sabah,2020,10337,7.85
Sabah,2021,3815,5.78
Sabah,2022,12589,7.34
Sabah,2023,16080,7.52
Sabah,2024,20592,7.92
Perak,2015,15966,9.03
Perak,2016,16783,8.87
Perak,2017,20110,9.79
Perak,2018,17553,7.94
Perak,2019,21070,8.81
Perak,2020,13173,10.01
Perak,2021,4489,6.80
Perak,2022,14567,8.49
Perak,2023,17108,8.00
Perak,2024,21776,8.38
Pahang,2015,14398,8.14
Pahang,2016,14168,7.49
Pahang,2017,16491,8.03
Pahang,2018,18111,8.19
Pahang,2019,18498,7.74
Pahang,2020,9905,7.53
Pahang,2021,3405,5.16
Pahang,2022,13189,7.69
Pahang,2023,16456,7.70
Pahang,2024,20174,7.76
Negeri Sembilan,2015,9984,5.64
Negeri Sembilan,2016,10130,5.35
Negeri Sembilan,2017,10822,5.27
Negeri Sembilan,2018,12802,5.79
Negeri Sembilan,2019,13303,5.56
Negeri Sembilan,2020,7918,6.02
Negeri Sembilan,2021,5485,8.31
Negeri Sembilan,2022,11490,6.70
Negeri Sembilan,2023,14959,7.00
Negeri Sembilan,2024,17785,6.84
Kedah,2015,12425,7.02
Kedah,2016,13188,6.97
Kedah,2017,13305,6.48
Kedah,2018,14480,6.55
Kedah,2019,14831,6.20
Kedah,2020,10831,8.23
Kedah,2021,4023,6.10
Kedah,2022,11186,6.52
Kedah,2023,13444,6.29
Kedah,2024,14651,5.63
Melaka,2015,11552,6.53
Melaka,2016,12268,6.48
Melaka,2017,12625,6.15
Melaka,2018,13123,5.93
Melaka,2019,13979,5.85
Melaka,2020,7275,5.53
Melaka,2021,3878,5.88
Melaka,2022,11757,6.85
Melaka,2023,15559,7.28
Melaka,2024,19128,7.36
Terengganu,2015,11483,6.49
Terengganu,2016,12010,6.35
Terengganu,2017,12979,6.32
Terengganu,2018,13742,6.21
Terengganu,2019,14158,5.92
Terengganu,2020,7420,5.64
Terengganu,2021,3719,5.64
Terengganu,2022,10233,5.96
Terengganu,2023,11761,5.50
Terengganu,2024,14461,5.56
Kelantan,2015,9070,5.13
Kelantan,2016,8646,4.57
Kelantan,2017,9624,4.69
Kelantan,2018,9846,4.45
Kelantan,2019,10986,4.60
Kelantan,2020,6058,4.60
Kelantan,2021,1921,2.91
Kelantan,2022,6627,3.86
Kelantan,2023,7549,3.53
Kelantan,2024,10514,4.04
Labuan,2015,310,0.18
Labuan,2016,354,0.19
Labuan,2017,381,0.19
Labuan,2018,545,0.25
Labuan,2019,524,0.22
Labuan,2020,107,0.08
Labuan,2021,54,0.08
Labuan,2022,244,0.14
Labuan,2023,331,0.15
Labuan,2024,450,0.17
Perlis,2015,1410,0.80
Perlis,2016,1410,0.74
Perlis,2017,1414,0.69
Perlis,2018,2156,0.97
Perlis,2019,2088,0.87
Perlis,2020,1193,0.91
Perlis,2021,407,0.62
Perlis,2022,1669,0.97
Perlis,2023,1951,0.91
Perlis,2024,3225,1.24
Putrajaya,2015,1188,0.67
Putrajaya,2016,1816,0.96
Putrajaya,2017,1872,0.91
Putrajaya,2018,1892,0.85
Putrajaya,2019,1949,0.82
Putrajaya,2020,451,0.34
Putrajaya,2021,223,0.34
Putrajaya,2022,1306,0.76
Putrajaya,2023,1900,0.89
Putrajaya,2024,2557,0.98
